,Company,Compound,Date,Negative,Neutral,Positive,Tweets Ago
304,@FoxNews,0.0,Fri Oct 05 04:52:46 +0000 2018,1.0,0.0,0.0,5
305,@FoxNews,0.3612,Fri Oct 05 04:45:00 +0000 2018,0.872,0.0,0.128,6
306,@FoxNews,0.0,Fri Oct 05 04:38:00 +0000 2018,1.0,0.0,0.0,7
307,@FoxNews,0.0,Fri Oct 05 04:30:00 +0000 2018,1.0,0.0,0.0,8
308,@FoxNews,0.0,Fri Oct 05 04:25:41 +0000 2018,1.0,0.0,0.0,9
309,@FoxNews,0.0,Fri Oct 05 04:15:00 +0000 2018,1.0,0.0,0.0,10
310,@FoxNews,0.0,Fri Oct 05 04:08:00 +0000 2018,1.0,0.0,0.0,11
311,@FoxNews,-0.5423,Fri Oct 05 04:01:00 +0000 2018,0.844,0.156,0.0,12
312,@FoxNews,0.7506,Fri Oct 05 03:50:00 +0000 2018,0.758,0.0,0.242,13
313,@FoxNews,-0.1531,Fri Oct 05 03:42:00 +0000 2018,0.922,0.078,0.0,14
314,@FoxNews,0.25,Fri Oct 05 03:36:00 +0000 2018,0.895,0.0,0.105,15
315,@FoxNews,0.0,Fri Oct 05 03:30:00 +0000 2018,1.0,0.0,0.0,16
316,@FoxNews,0.0,Fri Oct 05 03:22:16 +0000 2018,1.0,0.0,0.0,17
317,@FoxNews,-0.6124,Fri Oct 05 03:16:15 +0000 2018,0.643,0.357,0.0,18
318,@FoxNews,0.0,Fri Oct 05 03:03:41 +0000 2018,1.0,0.0,0.0,19
319,@FoxNews,0.0,Fri Oct 05 02:59:53 +0000 2018,1.0,0.0,0.0,20
320,@FoxNews,0.0,Fri Oct 05 02:44:42 +0000 2018,1.0,0.0,0.0,21
321,@FoxNews,-0.296,Fri Oct 05 02:37:00 +0000 2018,0.833,0.167,0.0,22
322,@FoxNews,-0.1027,Fri Oct 05 02:27:27 +0000 2018,0.604,0.209,0.187,23
323,@FoxNews,0.34,Fri Oct 05 02:21:03 +0000 2018,0.844,0.0,0.156,24
324,@FoxNews,0.0,Fri Oct 05 02:16:53 +0000 2018,1.0,0.0,0.0,25
325,@FoxNews,0.4019,Fri Oct 05 02:07:19 +0000 2018,0.748,0.0,0.252,26
326,@FoxNews,0.4939,Fri Oct 05 01:59:00 +0000 2018,0.769,0.0,0.231,27
327,@FoxNews,-0.3612,Fri Oct 05 01:53:00 +0000 2018,0.645,0.235,0.12,28
328,@FoxNews,0.4767,Fri Oct 05 01:46:41 +0000 2018,0.763,0.0,0.237,29
329,@FoxNews,-0.3818,Fri Oct 05 01:39:16 +0000 2018,0.852,0.148,0.0,30
330,@FoxNews,0.3818,Fri Oct 05 01:31:17 +0000 2018,0.833,0.0,0.167,31
331,@FoxNews,-0.3182,Fri Oct 05 01:22:00 +0000 2018,0.769,0.149,0.082,32
332,@FoxNews,-0.25,Fri Oct 05 01:16:00 +0000 2018,0.728,0.16,0.112,33
333,@FoxNews,0.0,Fri Oct 05 01:08:55 +0000 2018,1.0,0.0,0.0,34
334,@FoxNews,0.0,Fri Oct 05 01:07:54 +0000 2018,1.0,0.0,0.0,35
335,@FoxNews,0.0,Fri Oct 05 00:56:35 +0000 2018,1.0,0.0,0.0,36
336,@FoxNews,0.0,Fri Oct 05 00:43:00 +0000 2018,1.0,0.0,0.0,37
337,@FoxNews,0.25,Fri Oct 05 00:35:26 +0000 2018,0.652,0.13,0.217,38
338,@FoxNews,0.2732,Fri Oct 05 00:27:00 +0000 2018,0.606,0.164,0.23,39
339,@FoxNews,0.0,Fri Oct 05 00:21:20 +0000 2018,1.0,0.0,0.0,40
340,@FoxNews,-0.1531,Fri Oct 05 00:17:01 +0000 2018,0.89,0.11,0.0,41
341,@FoxNews,0.0,Fri Oct 05 00:08:08 +0000 2018,1.0,0.0,0.0,42
342,@FoxNews,-0.5423,Fri Oct 05 00:02:31 +0000 2018,0.844,0.156,0.0,43
343,@FoxNews,-0.3182,Fri Oct 05 00:01:10 +0000 2018,0.78,0.141,0.078,44
344,@FoxNews,-0.4404,Thu Oct 04 23:51:21 +0000 2018,0.828,0.172,0.0,45
345,@FoxNews,0.7845,Thu Oct 04 23:50:28 +0000 2018,0.574,0.109,0.317,46
346,@FoxNews,0.2716,Thu Oct 04 23:46:10 +0000 2018,0.901,0.0,0.099,47
347,@FoxNews,0.0,Thu Oct 04 23:42:21 +0000 2018,1.0,0.0,0.0,48
348,@FoxNews,0.0,Thu Oct 04 23:38:08 +0000 2018,1.0,0.0,0.0,49
349,@FoxNews,0.0,Thu Oct 04 23:37:06 +0000 2018,1.0,0.0,0.0,50
350,@FoxNews,0.6249,Thu Oct 04 23:33:01 +0000 2018,0.709,0.0,0.291,51
351,@FoxNews,0.0,Thu Oct 04 23:32:39 +0000 2018,1.0,0.0,0.0,52
352,@FoxNews,0.0,Thu Oct 04 23:28:27 +0000 2018,1.0,0.0,0.0,53
353,@FoxNews,0.6705,Thu Oct 04 23:14:52 +0000 2018,0.732,0.0,0.268,54
354,@FoxNews,0.0,Thu Oct 04 23:10:48 +0000 2018,1.0,0.0,0.0,55
355,@FoxNews,0.5994,Thu Oct 04 23:04:00 +0000 2018,0.604,0.0,0.396,56
356,@FoxNews,0.4588,Thu Oct 04 23:00:55 +0000 2018,0.745,0.074,0.181,57
357,@FoxNews,0.0,Thu Oct 04 22:59:39 +0000 2018,1.0,0.0,0.0,58
358,@FoxNews,-0.891,Thu Oct 04 22:49:52 +0000 2018,0.551,0.449,0.0,59
359,@FoxNews,0.0,Thu Oct 04 22:38:59 +0000 2018,1.0,0.0,0.0,60
